name,
"UX",
"Figma",
"Adobe Photoshop",
"UI",
"Adobe Illustrator",
"Дизайн интерфейсов",
"Web-дизайн",
"Графический дизайн",
"Прототипирование",
"Проектирование пользовательских интерфейсов"
